category,title,href,push_count,author,price,date
收購,雙北 iPhone X/XS 整新,/bbs/MacShop/M.1573715814.A.CBD.html,0,s111121,none,11/14
收購, 桃園 iphone 11 顏色皆可,/bbs/MacShop/M.1573715894.A.FEF.html,0,juchii,none,11/14
販售,台北 全新神腦購入 iphone 11 綠色 紫色 ,/bbs/MacShop/M.1573716094.A.897.html,0,mr38,23500,11/14
販售,彰化 6s plus  &  7,/bbs/MacShop/M.1573716360.A.3A5.html,0,tsj47,50006500,11/14
販售,Apple Watch series 3 GPS版,/bbs/MacShop/M.1573716372.A.C66.html,0,tt8077919,5800,11/14
販售,台中 全新 11 pro max 256g 綠 39900,/bbs/MacShop/M.1573716576.A.BFF.html,0,snoopy821218,39900,11/14
販售,台中 iPhone X 64G 銀色 全新整新機,/bbs/MacShop/M.1573716661.A.2F5.html,0,maccam,13000,11/14
販售,MacBook Pro Retina 13” 2018 TB,/bbs/MacShop/M.1573716717.A.1BF.html,0,ben1117,45000,11/14
販售,iPhone 11 ProMax256G銀 全新未拆,/bbs/MacShop/M.1573716793.A.A47.html,0,gavin779a,40200,11/14
販售,台北 全新iPhone 11 64GB 綠,/bbs/MacShop/M.1573716940.A.6F2.html,0,PHrose,23000,11/14
