category,title,href,push_count,author,price,date
賣/,Surface Pro 3 台南高雄,/bbs/nb-shopping/M.1573667362.A.5C0.html,,poohpandas,6800,2019-11-14 01:49:20
賣/,surface pro 3 附鍵盤、手寫筆,/bbs/nb-shopping/M.1573041397.A.369.html,,Yuan,,2019-11-06 19:56:35
賣/,Surface Pro 3 附鍵盤,/bbs/nb-shopping/M.1572970375.A.AF7.html,,poohpandas,7000,2019-11-06 00:12:53
賣/,降價，Surface pro 3 8gb/ 256g,/bbs/nb-shopping/M.1572807629.A.ED1.html,,pandadna,1000019000,2019-11-04 03:00:27
賣/,Surface Pro 3,/bbs/nb-shopping/M.1572620645.A.5E0.html,,poohpandas,7000,2019-11-01 23:04:00
賣/,Surface Pro 3 4G/128G 售出,/bbs/nb-shopping/M.1572511726.A.595.html,,kaiba541,10000,2019-10-31 16:48:42
賣/, Surface Pro 3 i5/8G/256G 有鍵盤,/bbs/nb-shopping/M.1572256472.A.CF8.html,,baritone7563,14000,2019-10-28 17:54:30
賣/,(售出) Surface Pro 3 i5/8G/256G,/bbs/nb-shopping/M.1571167452.A.B11.html,,sexydiamond,16500,2019-10-16 03:24:10
賣/,"urface Pro 3 i5 4G/128G. 已售出, 謝謝!",/bbs/nb-shopping/M.1570858702.A.8CB.html,,iammie,11500,2019-10-12 13:38:20
賣/,surface pro 3［已售］,/bbs/nb-shopping/M.1568818590.A.32D.html,,Ohmygod0908,7000,2019-09-18 22:56:28
賣/,Surface Pro 3 i5/8g/256G(雙鍵盤)售出,/bbs/nb-shopping/M.1568732814.A.60D.html,,JBROTHER,1000,2019-09-17 23:06:52
徵/,Surface Pro 3,/bbs/nb-shopping/M.1568360284.A.292.html,,Kans9527,75009500,2019-09-13 15:37:42
賣/,Surface Pro 3 i5/8g/256G(雙鍵盤)  ,/bbs/nb-shopping/M.1568300803.A.B97.html,,JBROTHER,1000,2019-09-12 23:06:41
賣/,Surface Pro 3 i5/4g/128g,/bbs/nb-shopping/M.1567219995.A.E1C.html,,halaluya,4300,2019-08-31 10:53:11
賣/,surface pro 3 i5 4g 128g,/bbs/nb-shopping/M.1567086411.A.60C.html,,fongandy,70006000,2019-08-29 21:46:49
賣/,Surface Pro 3 i5/8g/256G(雙鍵盤)  ,/bbs/nb-shopping/M.1566838427.A.FB8.html,,JBROTHER,,2019-08-27 00:53:45
賣/,Surface Pro 3 i5/8g/256G(雙鍵盤),/bbs/nb-shopping/M.1566230223.A.05D.html,,JBROTHER,,2019-08-19 23:57:01
賣/, surface pro 3 i5 4g 128g,/bbs/nb-shopping/M.1565807354.A.4FA.html,,ttyuu,9500,2019-08-15 02:29:12
賣/,Surface Pro 3 i5/8g/256G(雙鍵盤),/bbs/nb-shopping/M.1565603807.A.87F.html,,JBROTHER,,2019-08-12 17:56:44
賣/,Surface Pro 3/Surface 3 128G 鍵盤,/bbs/nb-shopping/M.1564572325.A.EEE.html,,ragwing,7000,2019-07-31 19:25:23
賣/,surface pro 3 i5/128g/4g,/bbs/nb-shopping/M.1562593919.A.0F6.html,,qqxu5,9500,2019-07-08 21:51:57
賣/,surface pro 3 i5/4g/128G,/bbs/nb-shopping/M.1561997953.A.EF9.html,,qqxu5,10000,2019-07-02 00:19:11
徵/,微Surface Pro 3/4 希望配件齊全 ,/bbs/nb-shopping/M.1561443232.A.55D.html,,panio,800011000,2019-06-25 14:13:49
賣/,微軟 Surface pro 3 4G/128G,/bbs/nb-shopping/M.1561360612.A.350.html,,yikai1203,10000,2019-06-24 15:16:50
討論,詢價 二手surface pro 3,/bbs/nb-shopping/M.1560612605.A.37A.html,,Ohmygod0908,none,2019-06-15 23:30:03
賣/,Surface Pro 3 i5 4G/128G ,/bbs/nb-shopping/M.1557757176.A.427.html,,tdst,7000,2019-05-13 22:19:30
賣/,售出surface pro 3 i5/8G/256G 售出,/bbs/nb-shopping/M.1557545245.A.B6B.html,,OneSeven,11000,2019-05-11 11:27:23
賣/,urface pro 3 i5/8g/256g ,/bbs/nb-shopping/M.1557069676.A.FD3.html,,richao,,2019-05-05 23:21:14
賣/,surface pro 3i3-4020Y 4G/128G,/bbs/nb-shopping/M.1553984942.A.01B.html,,nung0410,10000,2019-03-31 06:28:58
賣/,Surface Pro 3 i5/4GB 128GB(已售出),/bbs/nb-shopping/M.1553336853.A.F03.html,,key681205,9500,2019-03-23 18:27:31
賣/,Surface Pro 3 I5 8G/256G,/bbs/nb-shopping/M.1553007024.A.89A.html,,iam1417,12800,2019-03-19 22:50:22
賣/,urface pro 3 8g 256g (已售出),/bbs/nb-shopping/M.1552052354.A.AC5.html,,pcpx1536,8500,2019-03-08 21:39:11
